username,state,choice,electoral_votes
Kuni,Alabama,red,9
Kuni,Alaska,red,3
Kuni,Arizona,red,11
Kuni,Arkansas,red,6
Kuni,California,blue,54
Kuni,Colorado,blue,10
Kuni,Connecticut,blue,7
Kuni,Delaware,blue,3
Kuni,Florida,red,30
Kuni,Georgia,blue,16
Kuni,Hawaii,blue,4
Kuni,Idaho,red,4
Kuni,Illinois,blue,19
Kuni,Indiana,red,11
Kuni,Iowa,red,6
Kuni,Kansas,red,6
Kuni,Kentucky,red,8
Kuni,Louisiana,red,8
Kuni,Maine,blue,4
Kuni,Maryland,blue,10
Kuni,Massachusetts,blue,11
Kuni,Michigan,blue,15
Kuni,Minnesota,blue,10
Kuni,Mississippi,red,6
Kuni,Missouri,red,10
Kuni,Montana,red,4
Kuni,Nebraska,red,5
Kuni,Nevada,blue,6
Kuni,New Hampshire,blue,4
Kuni,New Jersey,blue,14
Kuni,New Mexico,blue,5
Kuni,New York,blue,28
Kuni,North Carolina,red,16
Kuni,North Dakota,red,3
Kuni,Ohio,red,17
Kuni,Oklahoma,red,7
Kuni,Oregon,blue,8
Kuni,Pennsylvania,blue,19
Kuni,Rhode Island,blue,4
Kuni,South Carolina,red,9
Kuni,South Dakota,red,3
Kuni,Tennessee,red,11
Kuni,Texas,red,40
Kuni,Utah,red,6
Kuni,Vermont,blue,3
Kuni,Virginia,blue,13
Kuni,Washington,blue,12
Kuni,"Washington, D.C.",blue,3
Kuni,West Virginia,red,4
Kuni,Wisconsin,blue,10
Kuni,Wyoming,red,3
rohandang856,Alabama,red,9
rohandang856,Alaska,red,3
rohandang856,Arizona,blue,11
rohandang856,Arkansas,red,6
rohandang856,California,blue,54
rohandang856,Colorado,blue,10
rohandang856,Connecticut,blue,7
rohandang856,Delaware,blue,3
rohandang856,Florida,red,30
rohandang856,Georgia,red,16
rohandang856,Hawaii,blue,4
rohandang856,Idaho,red,4
rohandang856,Illinois,blue,19
rohandang856,Indiana,blue,11
rohandang856,Iowa,blue,6
rohandang856,Kansas,red,6
rohandang856,Kentucky,red,8
rohandang856,Louisiana,red,8
rohandang856,Maine,blue,4
rohandang856,Maryland,blue,10
rohandang856,Massachusetts,blue,11
rohandang856,Michigan,blue,15
rohandang856,Minnesota,blue,10
rohandang856,Mississippi,red,6
rohandang856,Missouri,red,10
rohandang856,Montana,red,4
rohandang856,Nebraska,red,5
rohandang856,Nevada,blue,6
rohandang856,New Hampshire,blue,4
rohandang856,New Jersey,blue,14
rohandang856,New Mexico,blue,5
rohandang856,New York,blue,28
rohandang856,North Carolina,red,16
rohandang856,North Dakota,red,3
rohandang856,Ohio,red,17
rohandang856,Oklahoma,red,7
rohandang856,Oregon,blue,8
rohandang856,Pennsylvania,blue,19
rohandang856,Rhode Island,blue,4
rohandang856,South Carolina,red,9
rohandang856,South Dakota,red,3
rohandang856,Tennessee,red,11
rohandang856,Texas,red,40
rohandang856,Utah,red,6
rohandang856,Vermont,blue,3
rohandang856,Virginia,blue,13
rohandang856,Washington,blue,12
rohandang856,"Washington, D.C.",blue,3
rohandang856,West Virginia,red,4
rohandang856,Wisconsin,red,10
rohandang856,Wyoming,red,3
nikh,Alabama,red,9
nikh,Alaska,red,3
nikh,Arizona,red,11
nikh,Arkansas,red,6
nikh,California,blue,54
nikh,Colorado,blue,10
nikh,Connecticut,blue,7
nikh,Delaware,blue,3
nikh,Florida,red,30
nikh,Georgia,blue,16
nikh,Hawaii,blue,4
nikh,Idaho,red,4
nikh,Illinois,blue,19
nikh,Indiana,red,11
nikh,Iowa,red,6
nikh,Kansas,red,6
nikh,Kentucky,red,8
nikh,Louisiana,red,8
nikh,Maine,blue,4
nikh,Maryland,blue,10
nikh,Massachusetts,blue,11
nikh,Michigan,blue,15
nikh,Minnesota,blue,10
nikh,Mississippi,red,6
nikh,Missouri,red,10
nikh,Montana,red,4
nikh,Nebraska,red,5
nikh,Nevada,red,6
nikh,New Hampshire,blue,4
nikh,New Jersey,blue,14
nikh,New Mexico,blue,5
nikh,New York,blue,28
nikh,North Carolina,red,16
nikh,North Dakota,red,3
nikh,Ohio,red,17
nikh,Oklahoma,red,7
nikh,Oregon,blue,8
nikh,Pennsylvania,blue,19
nikh,Rhode Island,blue,4
nikh,South Carolina,red,9
nikh,South Dakota,red,3
nikh,Tennessee,red,11
nikh,Texas,red,40
nikh,Utah,red,6
nikh,Vermont,blue,3
nikh,Virginia,blue,13
nikh,Washington,blue,12
nikh,"Washington, D.C.",blue,3
nikh,West Virginia,red,4
nikh,Wisconsin,red,10
nikh,Wyoming,red,3
vinay727,Alabama,red,9
vinay727,Alaska,red,3
vinay727,Arizona,red,11
vinay727,Arkansas,red,6
vinay727,California,blue,54
vinay727,Colorado,blue,10
vinay727,Connecticut,blue,7
vinay727,Delaware,blue,3
vinay727,Florida,red,30
vinay727,Georgia,blue,16
vinay727,Hawaii,blue,4
vinay727,Idaho,red,4
vinay727,Illinois,blue,19
vinay727,Indiana,red,11
vinay727,Iowa,blue,6
vinay727,Kansas,red,6
vinay727,Kentucky,red,8
vinay727,Louisiana,red,8
vinay727,Maine,blue,4
vinay727,Maryland,blue,10
vinay727,Massachusetts,blue,11
vinay727,Michigan,blue,15
vinay727,Minnesota,blue,10
vinay727,Mississippi,red,6
vinay727,Missouri,red,10
vinay727,Montana,red,4
vinay727,Nebraska,red,5
vinay727,Nevada,blue,6
vinay727,New Hampshire,blue,4
vinay727,New Jersey,blue,14
vinay727,New Mexico,blue,5
vinay727,New York,blue,28
vinay727,North Carolina,blue,16
vinay727,North Dakota,red,3
vinay727,Ohio,red,17
vinay727,Oklahoma,red,7
vinay727,Oregon,blue,8
vinay727,Pennsylvania,blue,19
vinay727,Rhode Island,blue,4
vinay727,South Carolina,red,9
vinay727,South Dakota,red,3
vinay727,Tennessee,red,11
vinay727,Texas,red,40
vinay727,Utah,red,6
vinay727,Vermont,blue,3
vinay727,Virginia,blue,13
vinay727,Washington,blue,12
vinay727,"Washington, D.C.",blue,3
vinay727,West Virginia,red,4
vinay727,Wisconsin,blue,10
vinay727,Wyoming,red,3
SS,Alabama,red,9
SS,Alaska,red,3
SS,Arizona,blue,11
SS,Arkansas,red,6
SS,California,blue,54
SS,Colorado,blue,10
SS,Connecticut,blue,7
SS,Delaware,blue,3
SS,Florida,red,30
SS,Georgia,blue,16
SS,Hawaii,blue,4
SS,Idaho,red,4
SS,Illinois,blue,19
SS,Indiana,red,11
SS,Iowa,red,6
SS,Kansas,red,6
SS,Kentucky,red,8
SS,Louisiana,red,8
SS,Maine,blue,4
SS,Maryland,blue,10
SS,Massachusetts,blue,11
SS,Michigan,blue,15
SS,Minnesota,blue,10
SS,Mississippi,red,6
SS,Missouri,red,10
SS,Montana,red,4
SS,Nebraska,red,5
SS,Nevada,blue,6
SS,New Hampshire,blue,4
SS,New Jersey,blue,14
SS,New Mexico,blue,5
SS,New York,blue,28
SS,North Carolina,blue,16
SS,North Dakota,red,3
SS,Ohio,red,17
SS,Oklahoma,red,7
SS,Oregon,blue,8
SS,Pennsylvania,blue,19
SS,Rhode Island,blue,4
SS,South Carolina,red,9
SS,South Dakota,red,3
SS,Tennessee,red,11
SS,Texas,red,40
SS,Utah,red,6
SS,Vermont,blue,3
SS,Virginia,blue,13
SS,Washington,blue,12
SS,"Washington, D.C.",blue,3
SS,West Virginia,red,4
SS,Wisconsin,blue,10
SS,Wyoming,red,3
shaan,Alabama,red,9
shaan,Alaska,red,3
shaan,Arizona,red,11
shaan,Arkansas,red,6
shaan,California,blue,54
shaan,Colorado,blue,10
shaan,Connecticut,blue,7
shaan,Delaware,blue,3
shaan,Florida,red,30
shaan,Georgia,red,16
shaan,Hawaii,blue,4
shaan,Idaho,red,4
shaan,Illinois,blue,19
shaan,Indiana,red,11
shaan,Iowa,red,6
shaan,Kansas,red,6
shaan,Kentucky,red,8
shaan,Louisiana,red,8
shaan,Maine,blue,4
shaan,Maryland,blue,10
shaan,Massachusetts,blue,11
shaan,Michigan,blue,15
shaan,Minnesota,blue,10
shaan,Mississippi,red,6
shaan,Missouri,red,10
shaan,Montana,red,4
shaan,Nebraska,red,5
shaan,Nevada,red,6
shaan,New Hampshire,blue,4
shaan,New Jersey,blue,14
shaan,New Mexico,blue,5
shaan,New York,blue,28
shaan,North Carolina,red,16
shaan,North Dakota,red,3
shaan,Ohio,red,17
shaan,Oklahoma,red,7
shaan,Oregon,blue,8
shaan,Pennsylvania,blue,19
shaan,Rhode Island,blue,4
shaan,South Carolina,red,9
shaan,South Dakota,red,3
shaan,Tennessee,red,11
shaan,Texas,red,40
shaan,Utah,red,6
shaan,Vermont,blue,3
shaan,Virginia,blue,13
shaan,Washington,blue,12
shaan,"Washington, D.C.",blue,3
shaan,West Virginia,red,4
shaan,Wisconsin,blue,10
shaan,Wyoming,red,3
Poo poo,Alabama,red,9
Poo poo,Alaska,red,3
Poo poo,Arizona,blue,11
Poo poo,Arkansas,red,6
Poo poo,California,blue,54
Poo poo,Colorado,blue,10
Poo poo,Connecticut,blue,7
Poo poo,Delaware,blue,3
Poo poo,Florida,red,30
Poo poo,Georgia,blue,16
Poo poo,Hawaii,blue,4
Poo poo,Idaho,red,4
Poo poo,Illinois,blue,19
Poo poo,Indiana,red,11
Poo poo,Iowa,red,6
Poo poo,Kansas,red,6
Poo poo,Kentucky,red,8
Poo poo,Louisiana,red,8
Poo poo,Maine,blue,4
Poo poo,Maryland,blue,10
Poo poo,Massachusetts,blue,11
Poo poo,Michigan,blue,15
Poo poo,Minnesota,blue,10
Poo poo,Mississippi,red,6
Poo poo,Missouri,red,10
Poo poo,Montana,red,4
Poo poo,Nebraska,red,5
Poo poo,Nevada,blue,6
Poo poo,New Hampshire,blue,4
Poo poo,New Jersey,blue,14
Poo poo,New Mexico,blue,5
Poo poo,New York,blue,28
Poo poo,North Carolina,red,16
Poo poo,North Dakota,red,3
Poo poo,Ohio,red,17
Poo poo,Oklahoma,red,7
Poo poo,Oregon,blue,8
Poo poo,Pennsylvania,blue,19
Poo poo,Rhode Island,blue,4
Poo poo,South Carolina,red,9
Poo poo,South Dakota,red,3
Poo poo,Tennessee,red,11
Poo poo,Texas,red,40
Poo poo,Utah,red,6
Poo poo,Vermont,blue,3
Poo poo,Virginia,blue,13
Poo poo,Washington,blue,12
Poo poo,"Washington, D.C.",blue,3
Poo poo,West Virginia,red,4
Poo poo,Wisconsin,red,10
Poo poo,Wyoming,red,3
Tiki,Alabama,red,9
Tiki,Alaska,red,3
Tiki,Arizona,red,11
Tiki,Arkansas,red,6
Tiki,California,blue,54
Tiki,Colorado,blue,10
Tiki,Connecticut,blue,7
Tiki,Delaware,blue,3
Tiki,Florida,red,30
Tiki,Georgia,red,16
Tiki,Hawaii,blue,4
Tiki,Idaho,red,4
Tiki,Illinois,blue,19
Tiki,Indiana,red,11
Tiki,Iowa,blue,6
Tiki,Kansas,red,6
Tiki,Kentucky,red,8
Tiki,Louisiana,red,8
Tiki,Maine,blue,4
Tiki,Maryland,blue,10
Tiki,Massachusetts,blue,11
Tiki,Michigan,blue,15
Tiki,Minnesota,blue,10
Tiki,Mississippi,red,6
Tiki,Missouri,red,10
Tiki,Montana,red,4
Tiki,Nebraska,red,5
Tiki,Nevada,blue,6
Tiki,New Hampshire,blue,4
Tiki,New Jersey,blue,14
Tiki,New Mexico,blue,5
Tiki,New York,blue,28
Tiki,North Carolina,red,16
Tiki,North Dakota,red,3
Tiki,Ohio,red,17
Tiki,Oklahoma,red,7
Tiki,Oregon,blue,8
Tiki,Pennsylvania,red,19
Tiki,Rhode Island,blue,4
Tiki,South Carolina,red,9
Tiki,South Dakota,red,3
Tiki,Tennessee,red,11
Tiki,Texas,red,40
Tiki,Utah,red,6
Tiki,Vermont,blue,3
Tiki,Virginia,blue,13
Tiki,Washington,blue,12
Tiki,"Washington, D.C.",blue,3
Tiki,West Virginia,red,4
Tiki,Wisconsin,blue,10
Tiki,Wyoming,red,3
Karan 2,Alabama,red,9
Karan 2,Alaska,red,3
Karan 2,Arizona,red,11
Karan 2,Arkansas,red,6
Karan 2,California,blue,54
Karan 2,Colorado,blue,10
Karan 2,Connecticut,blue,7
Karan 2,Delaware,blue,3
Karan 2,Florida,red,30
Karan 2,Georgia,red,16
Karan 2,Hawaii,blue,4
Karan 2,Idaho,red,4
Karan 2,Illinois,blue,19
Karan 2,Indiana,red,11
Karan 2,Iowa,red,6
Karan 2,Kansas,red,6
Karan 2,Kentucky,red,8
Karan 2,Louisiana,red,8
Karan 2,Maine,blue,4
Karan 2,Maryland,blue,10
Karan 2,Massachusetts,blue,11
Karan 2,Michigan,red,15
Karan 2,Minnesota,blue,10
Karan 2,Mississippi,red,6
Karan 2,Missouri,red,10
Karan 2,Montana,red,4
Karan 2,Nebraska,red,5
Karan 2,Nevada,red,6
Karan 2,New Hampshire,blue,4
Karan 2,New Jersey,blue,14
Karan 2,New Mexico,blue,5
Karan 2,New York,blue,28
Karan 2,North Carolina,red,16
Karan 2,North Dakota,red,3
Karan 2,Ohio,red,17
Karan 2,Oklahoma,red,7
Karan 2,Oregon,blue,8
Karan 2,Pennsylvania,red,19
Karan 2,Rhode Island,blue,4
Karan 2,South Carolina,red,9
Karan 2,South Dakota,red,3
Karan 2,Tennessee,red,11
Karan 2,Texas,red,40
Karan 2,Utah,red,6
Karan 2,Vermont,blue,3
Karan 2,Virginia,blue,13
Karan 2,Washington,blue,12
Karan 2,"Washington, D.C.",blue,3
Karan 2,West Virginia,red,4
Karan 2,Wisconsin,blue,10
Karan 2,Wyoming,red,3